Sample,ProfileID,Longitude,Latitude,Depth,Upper,Lower,Horizon,Sand,Silt,Clay,pH,EC,OC,Na+,SAR,ESP
1,1,89.711949,22.768982,0-13,0,13,1,16.1,55.9,28,6.74,2.25,0.9,2.9,,13.45083488
2,1,89.711949,22.768982,13-19,13,19,2,15.7,47.3,37,7.22,1.46,1,3.05,,12.65560166
3,1,89.711949,22.768982,19-34,19,34,3,6.7,48,45.3,7.6,3,1.5,3.45,,12.24272534
4,1,89.711949,22.768982,34-45,34,45,4,11.3,49.4,39.3,7.88,4.9,0.8,3.24,,12.89808917
5,1,89.711949,22.768982,45-68,45,68,5,8.3,40,51.7,7.75,4.8,0.9,3.7,,
6,1,89.711949,22.768982,68-100,68,100,6,9.9,63.5,26.6,8.11,4.8,0.8,2.78,,
7,2,89.443949,22.695936,0-8,0,8,1,1.9,56.5,41.6,6.29,9.5,0.7,3.59,,14.90244915
8,2,89.443949,22.695936,13-Aug,8,13,2,,,,6.97,4.3,0.9,1.66,,6.767223808
9,2,89.443949,22.695936,13-35,13,35,3,1.2,54.6,44.2,6.38,4.35,0.8,1.93,,7.463263728
10,2,89.443949,22.695936,35-60,35,60,4,3.5,54.4,42.1,5.65,5,0.9,1.98,,5.985489722
11,2,89.443949,22.695936,60-98,60,98,5,6.2,53.6,40.2,4.7,5.75,0.7,2.1,,10.19417476
12,2,89.443949,22.695936,98-138,98,138,6,0.7,45.5,53.8,7.5,4.8,0.8,1.89,,
13,3,89.540565,22.54359,0-13,0,13,1,0.8,66.6,32.6,7.68,1.25,1.5,1.12,,5.154164749
14,3,89.540565,22.54359,13-38,13,38,2,4.2,60.1,35.7,7.85,1.15,1.6,1.34,,5.521219613
15,3,89.540565,22.54359,38-55,38,55,3,0.5,56.3,43.2,7.12,1.1,1.2,1.8,,6.923076923
16,3,89.540565,22.54359,55-75,55,75,4,0.8,51.3,47.9,6.35,1.65,1.5,2.46,,
17,3,89.540565,22.54359,75-120,75,120,5,1.5,51.2,47.3,5.45,3.25,1.4,0.85,,
